# DES-SN Y5 (Dovekie HD): CID z_HD mu sigma_total
# sigma_total = sqrt(MUERR^2 + MUERR_VPEC^2 + MUERR_SYS^2)
# N_unique_SN = 1820 (1623 DES + 197 external low-z); N_rows = 1820
# Source: DES Collaboration, DES-SN5YR data release (public)
1871017 0.33720 41.11461 0.106001
1257016 0.33743 41.10457 0.192960
1909375 0.33753 41.21254 0.091303
1313057 0.33754 41.43363 0.245483
1322819 0.33759 41.39351 0.124758
1263197 0.33778 40.99379 0.156686
1300912 0.33780 41.18260 0.240810
1723034 0.33784 41.36740 0.179841
1262131 0.33802 41.20249 0.111956
1304145 0.33811 42.34314 197.611707
1294351 0.33828 41.29239 0.145182
1770702 0.33846 40.87733 0.229787
1343337 0.33899 41.12532 0.265149
1319614 0.33920 41.41143 0.229321
1643312 0.34037 41.14960 0.205026
1933035 0.34105 41.64473 0.301870
1308357 0.34157 41.11123 0.334871
1336009 0.34175 41.28327 0.271158
1332819 0.34180 41.15902 0.152350
1368530 0.34224 41.47595 0.191816
1249805 0.34273 40.60507 338.161006
1311394 0.34291 40.95115 0.407857
1301936 0.34304 41.62383 0.238420
1332747 0.34305 41.40908 0.374233
1248925 0.34307 41.44534 0.134034
1876421 0.34313 41.38335 0.137462
1297365 0.34316 42.74336 224.711810
1531108 0.34387 41.34527 0.198181
1371048 0.34392 41.24242 0.151761
1776135 0.34410 42.49381 283.252527
1323106 0.34417 41.33949 0.117821
1948484 0.34436 41.09129 0.183671
1318661 0.34451 41.44891 0.180610
1921361 0.34459 41.26558 0.134142
1309330 0.34472 42.25376 7.071520
1329312 0.34478 41.25878 0.108702
1256570 0.34548 41.36581 0.113803
1835110 0.34550 41.26919 0.117052
1292823 0.34565 41.30887 0.127742
1770442 0.34578 41.29105 0.147818
1432017 0.34579 41.43032 0.252828
1277715 0.34601 41.29064 0.154324
1265011 0.34689 41.09872 0.134784
1291408 0.34721 41.13422 0.150026
1658072 0.34721 42.87201 218.232286
1593067 0.34776 41.64355 0.223022
1278602 0.34799 41.51216 0.213752
